date,open,high,low,close,volume
2024-06-03,3577.3798,3600.6044,3567.8713,3588.7483,14105459100
2024-06-04,3583.8104,3622.5012,3580.2771,3615.6714,12454509600
2024-06-05,3610.3601,3623.3232,3594.1056,3594.7936,11090676600
2024-06-06,3602.1554,3625.0109,3584.1710,3592.2454,13789351700
2024-06-07,3594.6335,3603.0698,3552.0853,3574.1143,13110302600
2024-06-11,3555.8186,3565.3113,3525.8945,3542.8771,13452230600
2024-06-12,3539.0947,3551.1706,3531.5657,3544.1225,12281372900
2024-06-13,3548.2162,3551.0771,3520.1802,3526.1306,12324546200
2024-06-14,3514.7998,3547.1473,3503.5233,3541.5331,17151694200
2024-06-17,3521.4365,3540.7932,3520.7381,3536.1986,13743343800
2024-06-18,3533.4875,3551.7085,3532.7845,3545.5902,12367183800
2024-06-19,3543.3599,3543.3599,3524.8449,3528.7490,10664279700
2024-06-20,3525.1687,3533.9865,3500.1310,3503.2817,11161739600
2024-06-21,3496.3428,3505.5123,3473.8283,3495.6198,10918661500
2024-06-24,3473.6392,3505.7752,3471.2164,3476.8102,11799018400
2024-06-25,3475.1648,3483.2189,3440.6464,3457.9023,11844811800
2024-06-26,3451.5389,3487.3964,3442.2982,3480.2648,10589886100
2024-06-27,3467.2888,3471.1423,3452.5775,3454.1175,11491810100
2024-06-28,3443.6744,3484.6780,3443.6744,3461.6570,13540915300
2024-07-01,3458.2636,3479.9548,3443.8086,3478.1827,12182977000
2024-07-02,3472.4527,3488.3189,3464.5237,3471.7857,12165012100
2024-07-03,3471.5556,3478.7047,3454.9942,3463.4141,10385710800
2024-07-04,3468.2958,3483.3098,3444.9280,3445.8128,10442990900
2024-07-05,3443.3588,3451.0386,3399.6693,3431.0605,11660965900
2024-07-08,3420.8033,3428.0418,3395.9123,3401.7604,11552821800
2024-07-09,3396.8044,3448.9279,3384.8086,3439.8111,13162944300
2024-07-10,3425.8818,3447.5050,3423.6483,3428.9657,12720345600
2024-07-11,3451.0442,3473.9837,3438.1180,3468.1690,14589246600
