债券代码,债券简称,申购日期,申购代码,申购上限,正股代码,正股简称,正股价,转股价,转股价值,债现价,转股溢价率,原股东配售-股权登记日,原股东配售-每股配售额,发行规模,中签号发布日,中签率,上市时间,信用评级
127095,广泰转债,2023-10-18,072111,100,002111,威海广泰,10.85,9.15,118.5792,136.486,15.1,2023-10-17,1.3212,7.0,2023-10-20,0.0022347742,2023-11-10,AA-
127094,红墙转债,2023-10-18,072809,100,002809,红墙股份,12.34,10.44,118.1992,140.5,18.87,2023-10-17,1.5031,3.16,2023-10-20,0.000963578,2023-11-08,A+
127093,章鼓转债,2023-10-17,072598,100,002598,山东章鼓,10.79,10.15,106.3054,136.156,28.08,2023-10-16,0.7788,2.43,2023-10-19,0.0007387761,2023-11-03,A+
123226,中富转债,2023-10-16,370814,100,300814,中富电路,37.29,,,100.0,,2023-10-13,2.9579,5.2,2023-10-18,0.0008351318,2023-11-03,AA-
123225,翔丰转债,2023-10-10,370890,100,300890,翔丰华,31.17,27.44,113.5933,135.923,19.65,2023-10-09,7.4052,8.0,2023-10-12,0.0035777723,2023-10-26,AA-
127092,运机转债,2023-09-21,071288,100,001288,运机集团,22.68,12.09,187.5103,201.324,7.34,2023-09-20,4.5625,7.3,2023-09-25,0.0017956304,2023-10-20,AA-
123224,宇邦转债,2023-09-19,371266,100,301266,宇邦新材,35.01,36.84,95.0326,130.148,37.06,2023-09-18,4.8076,5.0,2023-09-21,0.0009705603,2023-10-18,A+
123223,九典转02,2023-09-15,370705,100,300705,九典制药,17.86,14.95,119.4649,143.312,19.96,2023-09-14,1.0451,3.6,2023-09-19,0.0006352217,2023-10-13,A+
113677,华懋转债,2023-09-14,754306,100,603306,华懋科技,46.26,33.76,137.0261,157.847,15.19,2023-09-13,3.249,10.5,2023-09-18,0.00326065,2023-10-12,AA-
118045,盟升转债,2023-09-12,718311,100,688311,盟升电子,41.52,20.94,198.2808,229.553,15.84,2023-09-11,1.876,3.0,2023-09-14,0.00089357,2023-10-17,A
118044,赛特转债,2023-09-11,718398,100,688398,赛特新材,21.9,18.9,115.873,139.26,20.13,2023-09-08,3.81,4.42,2023-09-13,0.00056949,2023-10-12,A+
123222,博俊转债,2023-09-08,370926,100,300926,博俊科技,27.19,16.68,163.0096,181.077,11.05,2023-09-07,1.7932,5.0,2023-09-12,0.0010404561,2023-09-28,A+
123221,力诺转债,2023-08-23,371188,100,301188,力诺药包,25.02,14.2,176.1972,184.383,4.65,2023-08-22,2.1513,5.0,2023-08-25,0.0018983056,2023-09-14,A+
127091,科数转债,2023-08-23,072335,100,002335,科华数据,44.45,,,100.0,,2023-08-22,3.2326,14.92068,2023-08-25,0.0052497071,2023-09-12,AA
113676,荣23转债,2023-08-18,754165,100,603165,荣晟环保,12.38,11.11,111.4311,131.299,17.83,2023-08-17,2.127,5.76,2023-08-22,0.00080245,2023-09-13,AA-
123220,易瑞转债,2023-08-18,370942,100,300942,易瑞生物,12.94,8.87,145.885,145.799,-0.09,2023-08-17,0.8187,3.281967,2023-08-22,0.0028761396,2023-09-06,A+
111017,蓝天转债,2023-08-15,713368,100,605368,蓝天燃气,10.15,8.38,121.1217,137.067,13.16,2023-08-14,1.255,8.7,2023-08-17,0.00084259,2023-09-08,AA
118043,福立转债,2023-08-14,718678,100,688678,福立旺,24.8,14.9,166.443,185.622,11.48,2023-08-11,4.065,7.0,2023-08-16,0.00147242,2023-09-12,AA-
123219,宇瞳转债,2023-08-11,370790,100,300790,宇瞳光学,25.89,,,100.0,,2023-08-10,1.7731,6.0,2023-08-15,0.0011856348,2023-08-29,A+
113675,新23转债,2023-08-11,754179,100,603179,新泉股份,47.66,50.75,93.931,129.367,37.73,2023-08-10,2.38,11.6,2023-08-15,0.0028089,2023-09-05,AA-
123218,宏昌转债,2023-08-10,371008,100,301008,宏昌科技,24.76,,,100.0,,2023-08-09,4.75,3.8,2023-08-14,0.000438974,2023-08-30,A+
118042,奥维转债,2023-08-10,718516,100,688516,奥特维,35.99,84.88,42.4128,117.635,177.36,2023-08-09,7.399,11.4,2023-08-14,0.00203912,2023-09-01,AA-
110095,双良转债,2023-08-08,733481,100,600481,双良节能,5.92,6.18,95.7929,123.203,28.61,2023-08-07,1.389,26.0,2023-08-10,0.00551815,2023-09-08,AA-
123217,富仕转债,2023-08-08,370852,100,300852,四会富仕,34.09,29.54,115.4028,136.412,18.2,2023-08-07,5.592,5.7,2023-08-10,0.0007508153,2023-08-24,AA-
123216,科顺转债,2023-08-04,370737,100,300737,科顺股份,5.48,6.72,81.5476,121.826,49.39,2023-08-03,1.8877,21.98,2023-08-08,0.0045649054,2023-08-23,AA
123215,铭利转债,2023-08-03,371268,100,301268,铭利达,21.72,19.2,113.125,135.584,19.83,2023-08-02,2.4999,10.0,2023-08-07,0.0018818159,2023-08-23,AA-
123214,东宝转债,2023-07-31,370239,100,300239,东宝生物,5.93,6.63,89.4419,125.053,39.81,2023-07-28,0.7665,4.55,2023-08-02,0.0019172228,2023-08-18,A+
118041,星球转债,2023-07-31,718633,100,688633,星球石墨,28.55,23.14,123.3794,136.685,10.78,2023-07-28,5.964,6.2,2023-08-02,0.00054951,2023-08-22,A+
123213,天源转债,2023-07-28,371127,100,301127,武汉天源,15.33,7.14,214.7059,224.036,4.38,2023-07-27,2.3786,10.0,2023-08-01,0.0037859869,2023-08-16,AA-
113068,金铜转债,2023-07-28,783609,100,601609,金田股份,8.53,5.79,147.323,146.532,-0.54,2023-07-27,1.009,14.5,2023-08-01,0.00313136,2023-08-28,AA+
123211,阳谷转债,2023-07-27,370121,100,300121,阳谷华泰,13.97,9.39,148.7753,163.361,9.78,2023-07-26,1.6058,6.5,2023-07-31,0.0011936109,2023-08-14,AA-
123210,信服转债,2023-07-27,370454,100,300454,深信服,103.4,110.91,93.2287,137.51,47.54,2023-07-26,2.9227,12.14756,2023-07-31,0.0024586282,2023-08-18,AA
113067,燃23转债,2023-07-27,783139,100,601139,深圳燃气,6.61,7.4,89.3243,123.43,38.18,2023-07-26,1.042,30.0,2023-07-31,0.01104675,2023-08-18,AAA
123212,立中转债,2023-07-27,370428,100,300428,立中集团,18.83,18.66,100.911,128.422,27.26,2023-07-26,1.4393,8.998,2023-07-31,0.0016998032,2023-08-16,AA-
123209,聚隆转债,2023-07-26,370644,100,300644,南京聚隆,38.09,17.77,214.35,232.301,8.44,2023-07-25,2.0268,2.185,2023-07-28,0.000840233,2023-08-17,A+
118040,宏微转债,2023-07-25,718711,100,688711,宏微科技,28.96,28.52,101.5428,135.102,33.07,2023-07-24,2.834,4.3,2023-07-27,0.00147191,2023-08-14,A
111016,神通转债,2023-07-25,713228,100,605228,神通科技,15.93,11.52,138.2813,147.624,6.77,2023-07-24,1.358,5.77,2023-07-27,0.00043413,2023-08-15,AA-
123208,孩王转债,2023-07-24,371078,100,301078,孩子王,12.61,,,100.0,,2023-07-21,0.9343,10.39,2023-07-26,0.0044397098,2023-08-10,AA
127090,兴瑞转债,2023-07-24,072937,100,002937,兴瑞科技,19.08,25.6,74.5313,123.691,65.96,2023-07-21,1.5515,4.62,2023-07-26,0.0010381564,2023-08-15,AA-
123207,冠中转债,2023-07-21,370948,100,300948,冠中生态,12.02,10.44,115.1341,127.105,10.4,2023-07-20,2.8569,4.0,2023-07-25,0.0013600673,2023-08-09,A-
113674,华设转债,2023-07-21,754018,100,603018,华设集团,8.32,8.45,98.4615,132.0,34.06,2023-07-20,0.588,4.0,2023-07-25,0.00097532,2023-08-15,AA
118039,煜邦转债,2023-07-20,718597,100,688597,煜邦电力,8.33,7.3,113.9726,133.045,16.76,2023-07-19,1.662,4.10806,2023-07-24,0.00166927,2023-08-15,A
123206,开能转债,2023-07-20,370272,100,300272,开能健康,7.1,5.36,132.4627,129.47,-2.26,2023-07-19,0.445,2.5,2023-07-24,0.0005681769,2023-08-08,A+
110094,众和转债,2023-07-18,733888,100,600888,新疆众和,7.85,6.65,118.0451,135.281,14.6,2023-07-17,1.018,13.75,2023-07-20,0.00389776,2023-08-14,AA
127089,晶澳转债,2023-07-18,072459,100,002459,晶澳科技,11.05,11.66,94.7684,123.133,29.93,2023-07-17,2.7067,89.603077,2023-07-20,0.0241433531,2023-08-04,AA+
113672,福蓉转债,2023-07-18,754327,100,603327,福蓉科技,9.98,8.17,122.1542,141.902,16.17,2023-07-17,0.944,6.4,2023-07-20,0.00073622,2023-08-10,AA
113673,岱美转债,2023-07-18,754730,100,603730,岱美股份,5.77,7.37,78.2904,122.545,56.53,2023-07-17,0.714,9.07939,2023-07-20,0.00061925,2023-08-10,AA
118038,金宏转债,2023-07-17,718106,100,688106,金宏气体,18.22,18.97,96.0464,127.062,32.28,2023-07-14,2.111,10.16,2023-07-19,0.00221597,2023-08-10,AA-
123205,大叶转债,2023-07-17,370879,100,300879,大叶股份,33.4,,,100.0,,2023-07-14,2.9751,4.760312,2023-07-19,0.0007488107,2023-08-08,A+
123204,金丹转债,2023-07-13,370829,100,300829,金丹科技,18.99,,,100.0,,2023-07-12,3.8747,7.0,2023-07-17,0.0015047031,2023-08-02,AA-
113671,武进转债,2023-07-10,754878,100,603878,武进不锈,5.75,7.93,72.5095,121.86,68.02,2023-07-07,0.552,3.1,2023-07-12,0.00072475,2023-08-03,AA
111015,东亚转债,2023-07-06,713177,100,605177,东亚药业,21.4,20.28,105.5227,126.773,20.14,2023-07-05,6.073,6.9,2023-07-10,0.00141941,2023-08-02,A+
118037,上声转债,2023-07-06,718533,100,688533,上声电子,28.56,29.11,98.1106,129.867,32.37,2023-07-05,3.25,5.2,2023-07-10,0.00074907,2023-08-01,A+
127088,赫达转债,2023-07-03,072810,100,002810,山东赫达,13.64,16.85,80.9496,121.751,50.44,2023-06-30,1.7521,6.0,2023-07-05,0.0019329397,2023-07-19,AA-
