日期,="沪深300.收盘点位",="宏观.大陆-居民消费价格指数(CPI)(右1)",="宏观.大陆-工业品出厂价格指数(PPI)(右1)",="CPI-PPI(右1)"
2019-01-04,=3035.8700,,,
2018-12-31,,=0.0190,=0.0090,=0.0100
2018-12-28,=3010.6500,,,
2018-12-21,=3029.4000,,,
2018-12-14,=3165.9100,,,
2018-12-07,=3181.5600,,,
2018-11-30,=3172.6900,=0.0220,=0.0270,=-0.0050
2018-11-23,=3143.4800,,,
2018-11-16,=3257.6700,,,
2018-11-09,=3167.4400,,,
2018-11-02,=3290.2500,,,
2018-10-31,,=0.0250,=0.0330,=-0.0080
2018-10-26,=3173.6400,,,
2018-10-19,=3134.9500,,,
2018-10-12,=3170.7300,,,
2018-09-30,,=0.0250,=0.0360,=-0.0110
2018-09-28,=3438.8600,,,
2018-09-21,=3410.4900,,,
2018-09-14,=3242.0900,,,
2018-09-07,=3277.6400,,,
2018-08-31,=3334.5000,=0.0230,=0.0410,=-0.0180
2018-08-24,=3325.3300,,,
2018-08-17,=3229.6200,,,
2018-08-10,=3405.0200,,,
2018-08-03,=3315.2839,,,
2018-07-31,,=0.0210,=0.0460,=-0.0250
2018-07-27,=3521.2269,,,
2018-07-20,=3492.8938,,,
2018-07-13,=3492.6897,,,
2018-07-06,=3365.1227,,,
2018-06-30,,=0.0190,=0.0470,=-0.0280
2018-06-29,=3510.9845,,,
2018-06-22,=3608.9046,,,
2018-06-15,=3753.4338,,,
2018-06-08,=3779.6159,,,
2018-06-01,=3770.5891,,,
2018-05-31,,=0.0180,=0.0410,=-0.0230
2018-05-25,=3816.4980,,,
2018-05-18,=3903.0637,,,
2018-05-11,=3872.8383,,,
2018-05-04,=3774.5981,,,
2018-04-30,,=0.0180,=0.0340,=-0.0160
2018-04-27,=3756.8765,,,
2018-04-20,=3760.8543,,,
2018-04-13,=3871.1443,,,
2018-04-04,=3854.8625,,,
2018-03-31,,=0.0210,=0.0310,=-0.0100
2018-03-30,=3898.4977,,,
2018-03-23,=3904.9355,,,
2018-03-16,=4056.4226,,,
2018-03-09,=4108.8652,,,
2018-03-02,=4016.4610,,,
2018-02-28,,=0.0290,=0.0370,=-0.0080
2018-02-23,=4071.0889,,,
2018-02-14,=3966.9614,,,
2018-02-09,=3840.6527,,,
2018-02-02,=4271.2326,,,
2018-01-31,,=0.0150,=0.0430,=-0.0280
2018-01-26,=4381.2996,,,
2018-01-19,=4285.3950,,,
2018-01-12,=4225.0010,,,
2018-01-05,=4138.7505,,,
2017-12-31,,=0.0180,=0.0490,=-0.0310
2017-12-29,=4030.8549,,,
2017-12-22,=4054.5984,,,
2017-12-15,=3980.8558,,,
2017-12-08,=4003.3792,,,
2017-12-01,=3998.1365,,,
2017-11-30,,=0.0170,=0.0580,=-0.0410
2017-11-24,=4104.2034,,,
2017-11-17,=4120.8508,,,
2017-11-10,=4111.9112,,,
2017-11-03,=3992.6979,,,
2017-10-31,,=0.0190,=0.0690,=-0.0500
2017-10-27,=4021.9676,,,
2017-10-20,=3926.8520,,,
2017-10-13,=3921.0017,,,
2017-09-30,,=0.0160,=0.0690,=-0.0530
2017-09-29,=3836.5013,,,
2017-09-22,=3837.7304,,,
2017-09-15,=3831.2965,,,
2017-09-08,=3825.9895,,,
2017-09-01,=3830.5383,,,
2017-08-31,,=0.0180,=0.0630,=-0.0450
2017-08-25,=3795.7544,,,
2017-08-18,=3724.6748,,,
2017-08-11,=3647.3503,,,
2017-08-04,=3707.5796,,,
2017-07-31,,=0.0140,=0.0550,=-0.0410
2017-07-28,=3721.8914,,,
2017-07-21,=3728.5976,,,
2017-07-14,=3703.0940,,,
2017-07-07,=3655.9293,,,
