日期,="宏观.中债-十年期收益率",="社融-M2"
2015-10-30,=0.0306,=0.0955
2015-10-23,=0.0304,=0.0957
2015-10-16,=0.0312,=0.0949
2015-10-10,=0.0316,=0.0945
2015-09-30,=0.0324,=0.0937
2015-09-25,=0.0331,=0.0930
2015-09-18,=0.0331,=0.0930
2015-09-11,=0.0334,=0.0927
2015-09-06,=0.0332,=0.0929
2015-08-31,,=0.0923
2015-08-28,=0.0338,

数据来源于：理杏仁网站(lixinger.com)
