日期,="沪深300.收盘点位",="宏观.中债-十年期收益率(右1)",="宏观.月度社会融资增长率 / 3.6

(右1)",="宏观.大陆 - M2增长率 / 3.28
"
2020-05-08,=3963.6200,,,
2020-04-30,=3912.5800,=0.0254,=0.0333,=0.0338
2020-04-26,,=0.0252,,
2020-04-24,=3796.9700,,,
2020-04-17,=3839.4900,=0.0256,,
2020-04-10,=3769.1800,=0.0254,,
2020-04-03,=3713.2200,=0.0260,,
2020-03-31,,,=0.0319,=0.0308
2020-03-27,=3710.0600,=0.0261,,
2020-03-20,=3653.2200,=0.0268,,
2020-03-13,=3895.3100,=0.0268,,
2020-03-06,=4138.5100,=0.0263,,
2020-02-29,,,=0.0297,=0.0268
2020-02-28,=3940.0500,=0.0274,,
2020-02-21,=4149.4900,=0.0285,,
2020-02-14,=3987.7300,=0.0286,,
2020-02-07,=3899.8700,=0.0280,,
2020-01-31,,,=0.0297,=0.0256
2020-01-23,=4003.9000,=0.0299,,
2020-01-19,,=0.0308,,
2020-01-17,=4154.8500,,,
2020-01-10,=4163.1800,=0.0308,,
2020-01-03,=4144.9600,=0.0314,,
2019-12-31,,,=0.0297,=0.0265
2019-12-27,=4022.0300,=0.0313,,
2019-12-20,=4017.2500,=0.0318,,
2019-12-13,=3968.2200,=0.0318,,
2019-12-06,=3902.3900,=0.0318,,
2019-11-30,,,=0.0297,=0.0250
2019-11-29,=3828.6700,=0.0316,,
2019-11-22,=3849.9900,=0.0317,,
2019-11-15,=3877.0900,=0.0324,,
2019-11-08,=3973.0100,=0.0328,,
2019-11-01,=3952.3900,=0.0328,,
2019-10-31,,,=0.0294,=0.0256
2019-10-25,=3896.7900,=0.0324,,
2019-10-18,=3869.3800,=0.0319,,
2019-10-12,,=0.0317,,
2019-10-11,=3911.7300,,,
2019-09-30,=3814.5300,=0.0314,=0.0297,=0.0256
2019-09-29,,=0.0314,,
2019-09-27,=3852.6500,,,
2019-09-20,=3935.6500,=0.0310,,
2019-09-12,=3972.3800,=0.0309,,
2019-09-06,=3948.5100,=0.0302,,
2019-08-31,,,=0.0297,=0.0250
2019-08-30,=3799.5900,=0.0306,,
2019-08-23,=3820.8600,=0.0306,,
2019-08-16,=3710.5400,=0.0302,,
2019-08-09,=3633.5300,=0.0302,,
2019-08-02,=3747.4400,=0.0309,,
2019-07-31,,,=0.0300,=0.0247
2019-07-26,=3858.5700,=0.0317,,
2019-07-19,=3807.9600,=0.0316,,
2019-07-12,=3808.7300,=0.0315,,
2019-07-05,=3893.2000,=0.0317,,
2019-06-30,,,=0.0311,=0.0259
2019-06-28,=3825.5900,=0.0323,,
2019-06-21,=3833.9400,=0.0323,,
2019-06-14,=3654.8800,=0.0323,,
2019-06-06,=3564.6800,=0.0321,,
2019-05-31,=3629.7900,=0.0328,=0.0306,=0.0259
2019-05-24,=3593.9100,=0.0331,,
2019-05-17,=3648.7600,=0.0327,,
2019-05-10,=3730.4500,=0.0330,,
2019-05-05,,=0.0338,,
2019-04-30,=3913.2100,,=0.0300,=0.0259
2019-04-28,,=0.0340,,
2019-04-26,=3889.2700,,,
2019-04-19,=4120.6100,=0.0337,,
2019-04-12,=3988.6200,=0.0333,,
2019-04-04,=4062.2300,=0.0327,,
2019-03-31,,,=0.0311,=0.0262
2019-03-29,=3872.3400,=0.0307,,
2019-03-22,=3833.8000,=0.0311,,
2019-03-15,=3745.0100,=0.0314,,
2019-03-08,=3657.5800,=0.0314,,
2019-03-01,=3749.7100,=0.0319,,
2019-02-28,,,=0.0294,=0.0244
2019-02-22,=3520.1200,=0.0315,,
2019-02-15,=3338.7000,=0.0308,,
2019-02-03,,=0.0310,,
2019-02-01,=3247.4000,,,
2019-01-31,,,=0.0303,=0.0256
2019-01-25,=3184.4700,=0.0314,,
2019-01-18,=3168.1700,=0.0309,,
2019-01-11,=3094.7800,=0.0311,,
2019-01-04,=3035.8700,=0.0315,,
2018-12-31,,,=0.0285,=0.0247
2018-12-30,,=0.0323,,
2018-12-28,=3010.6500,,,
2018-12-21,=3029.4000,=0.0332,,
2018-12-14,=3165.9100,=0.0335,,
2018-12-07,=3181.5600,=0.0329,,
2018-11-30,=3172.6900,=0.0336,=0.0286,=0.0244
2018-11-23,=3143.4800,=0.0339,,
2018-11-16,=3257.6700,=0.0335,,
2018-11-09,=3167.4400,=0.0348,,
2018-11-02,=3290.2500,=0.0355,,
2018-10-31,,,=0.0300,=0.0244
2018-10-26,=3173.6400,=0.0354,,
2018-10-19,=3134.9500,=0.0357,,
2018-10-12,=3170.7300,=0.0358,,
2018-09-30,,=0.0361,=0.0311,=0.0253
2018-09-28,=3438.8600,,,
2018-09-21,=3410.4900,=0.0368,,
2018-09-14,=3242.0900,=0.0364,,
2018-09-07,=3277.6400,=0.0363,,
2018-08-31,=3334.5000,=0.0358,=0.0320,=0.0250
2018-08-24,=3325.3300,=0.0362,,
2018-08-17,=3229.6200,=0.0365,,
2018-08-10,=3405.0200,=0.0355,,
2018-08-03,=3315.2839,=0.0346,,
2018-07-31,,,=0.0319,=0.0259
2018-07-27,=3521.2269,=0.0352,,
2018-07-20,=3492.8938,=0.0351,,
2018-07-13,=3492.6897,=0.0349,,
2018-07-06,=3365.1227,=0.0353,,
2018-06-30,,,=0.0327,=0.0244
2018-06-29,=3510.9845,=0.0348,,
2018-06-22,=3608.9046,=0.0356,,
2018-06-15,=3753.4338,=0.0360,,
2018-06-08,=3779.6159,=0.0365,,
2018-06-01,=3770.5891,=0.0362,,
2018-05-31,,,=0.0339,=0.0253
2018-05-25,=3816.4980,=0.0361,,
2018-05-18,=3903.0637,=0.0371,,
2018-05-11,=3872.8383,=0.0369,,
2018-05-04,=3774.5981,=0.0363,,
2018-04-30,,,=0.0351,=0.0253
2018-04-28,,=0.0362,,
2018-04-27,=3756.8765,,,
2018-04-20,=3760.8543,=0.0352,,
