日期,="沪深300.PE-TTM(市值加权)",="宏观.中债-十年期收益率",="1 / 沪深300.PE-TTM(市值加权) / 宏观.中债 - 十年期收益率"
2017-02-10,=13.4025,=0.0344,=2.1710
2017-02-04,,=0.0341,=2.2176
2017-02-03,=13.2244,,=2.2596
2017-01-26,=13.3281,=0.0335,=2.2420
2017-01-22,,=0.0326,=2.3333
2017-01-20,=13.1667,,=2.3718
2017-01-13,=13.0275,=0.0320,=2.3971
2017-01-06,=13.0775,=0.0320,=2.3931
2016-12-31,,=0.0301,=2.5727
2016-12-30,=12.9071,,=2.4388
2016-12-23,=12.9116,=0.0318,=2.4379
2016-12-16,=12.9713,=0.0328,=2.3502
2016-12-09,=13.5736,=0.0309,=2.3878
2016-12-02,=13.6603,=0.0299,=2.4487
2016-11-25,=13.5947,=0.0286,=2.5675
2016-11-18,=13.1799,=0.0289,=2.6253
2016-11-11,=13.1971,=0.0282,=2.6918
2016-11-04,=12.9519,=0.0273,=2.8241
2016-10-28,=13.0777,=0.0270,=2.8293
2016-10-21,=13.1544,=0.0265,=2.8740
2016-10-14,=13.0648,=0.0270,=2.8399
2016-10-09,,=0.0268,=2.9031
2016-09-30,=12.8724,=0.0273,=2.8500
2016-09-23,=12.9632,=0.0273,=2.8238
2016-09-18,,=0.0277,=2.8199
2016-09-14,=12.8233,,=2.8175
2016-09-09,=13.1495,=0.0277,=2.7476
2016-09-02,=13.1551,=0.0275,=2.7691
2016-08-26,=12.8244,=0.0269,=2.8958
2016-08-19,=12.7700,=0.0270,=2.9002
2016-08-12,=12.5895,=0.0267,=2.9748
2016-08-05,=12.2103,=0.0275,=2.9744
2016-07-29,=12.2057,=0.0278,=2.9506
2016-07-22,=12.2547,=0.0279,=2.9241
2016-07-15,=12.4465,=0.0283,=2.8419
2016-07-08,=12.1121,=0.0280,=2.9470
2016-07-01,=12.0068,=0.0280,=2.9705
2016-06-24,=11.7556,=0.0288,=2.9529
2016-06-17,=11.8593,=0.0294,=2.8701
2016-06-12,,=0.0301,=2.7736
2016-06-08,=11.9970,,=2.7645
2016-06-03,=12.0567,=0.0302,=2.7508
2016-05-27,=11.6216,=0.0295,=2.9217
2016-05-20,=11.6494,=0.0295,=2.9099
2016-05-13,=11.6379,=0.0290,=2.9579
2016-05-06,=11.8376,=0.0290,=2.9114
2016-04-29,=11.9342,=0.0289,=2.8981
2016-04-22,=11.7930,=0.0293,=2.8932
2016-04-15,=12.1388,=0.0292,=2.8260
2016-04-08,=11.7833,=0.0292,=2.9105
2016-04-01,=11.9503,=0.0284,=2.9442
2016-03-25,=11.8752,=0.0283,=2.9744
2016-03-18,=11.7317,=0.0282,=3.0196
2016-03-11,=11.3120,=0.0285,=3.1069
2016-03-04,=11.5758,=0.0290,=2.9838
2016-02-26,=10.9680,=0.0286,=3.1934
2016-02-19,=11.2720,=0.0283,=3.1403
2016-02-14,,=0.0282,=3.2215
2016-02-06,,=0.0285,=3.1860
2016-02-05,=10.9995,,=3.1990
2016-01-29,=11.0072,=0.0284,=3.1968
2016-01-22,=11.6149,=0.0277,=3.1036
2016-01-15,=11.6212,=0.0275,=3.1332
2016-01-08,=12.5393,=0.0284,=2.8118
