日期,成交金额-上海(亿元),成交金额-深圳(亿元),全部成交金额(亿元),融资买入额(亿元),融资买入额占比(%)
2017-07-31,45183.23,52428.9144,97612.1444,9800.5,10.040246590464207
2017-08-31,55525.59,62146.7508,117672.3408,12014.1,10.209790948596478
2017-09-30,49579.7,65521.3077,115101.00769999999,11655.7,10.126496920321927
2017-10-31,34158.24,45241.8432,79400.0832,7953.7,10.017243911401847
2017-11-30,51554.94,60480.5075,112035.44750000001,11773.0,10.508281318731735
2017-12-31,36619.93,43618.3205,80238.2505,7846.9,9.779500364355528
2018-01-31,57916.83,56973.003,114889.833,12502.1,10.88181580001078
2018-02-28,32741.52,31651.2467,64392.7667,6206.9,9.639126128742655
2018-03-31,44142.91,59156.47,103299.38,9368.7,9.069463921274263
2018-04-30,33860.86,48527.08833,82387.94833,6860.0,8.326460531002278
2018-05-31,38289.9,51597.0918,89886.9918,7364.6,8.193176623805982
2018-06-30,31183.36,38637.0653,69820.4253,5105.9,7.312903033834712
2018-07-31,32667.67,45119.7262,77787.39619999999,5715.0,7.346948579312391
2018-08-31,28823.93,36971.134,65795.064,4944.0,7.514241493860391
2018-09-30,21617.37,28127.4739,49744.8439,3734.0,7.50630559321144
2018-10-31,24541.93,27834.4207,52376.350699999995,4036.1,7.705958788763037
2018-11-30,33633.71,44471.7152,78105.4252,6082.0,7.786911068502832
2018-12-31,22545.02,30707.9519,53252.971900000004,3817.5,7.168614001803718
2019-01-31,28097.34,37444.1444,65541.4844,4734.8,7.224126892066546
2019-02-28,38548.28,50375.1008,88923.3808,8499.9,9.558678407782715
2019-03-31,83135.45,103131.79,186267.24,18586.6,9.978458906676234
2019-04-30,75714.26,93136.4756,168850.7356,16625.8,9.84644807197393
2019-05-31,43268.03,55042.8121,98310.84210000001,7565.8,7.695794114248564
2019-06-30,38597.25,48876.6546,87473.90460000001,6675.0,7.630847200114581
2019-07-31,40036.17,51547.0368,91583.2068,7091.39,7.743111698945226
2019-08-31,42763.71,55881.8224,98645.5324,7902.5,8.011006487304437
2019-09-30,45727.62,67820.7564,113548.37640000001,10670.39,9.397219351169868
2019-10-31,29840.92,46853.99,76694.91,6696.3,8.731087890969556
2019-11-30,33732.0,51572.16458909,85304.16458909001,7405.25,8.680994691960322
