债券代码,债券简称,申购日期,申购代码,正股代码,正股简称,中签率,上市时间,信用评级,上市委通过日期,同意注册日期,上市委-申购,注册-申购,同意注册日期_开盘价,同意注册日期_收盘价,上市委通过日期_开盘价,上市委通过日期_收盘价,申购日期_开盘价,申购日期_收盘价,上市时间_开盘价,上市时间_收盘价
113681,镇洋转债,2023-12-29,754213,603213,镇洋发展,0.00098724,2024-01-17,AA-,2023-08-18,2023-10-31,133,59,11.180,11.190,11.540,11.460,10.540,10.790,12.390,11.630
111018,华康转债,2023-12-25,713077,605077,华康股份,0.00278331,2024-01-15,AA-,2023-08-19,2023-12-09,128,16,22.260,22.610,25.150,24.950,21.710,21.680,21.880,21.840
127102,浙建转债,2023-12-25,72761,2761,浙江建投,0.005139885,2024-01-16,AA+,2023-07-22,2023-09-16,156,100,14.350,14.760,17.300,16.930,9.940,9.840,9.820,9.760
123236,家联转债,2023-12-22,371193,301193,家联科技,0.0009433278,2024-01-18,AA-,2023-08-18,2023-11-21,126,31,17.920,17.860,17.380,17.240,17.670,17.350,19.250,19.900
113069,博23转债,2023-12-22,783137,601137,博威合金,0.00671801,2024-01-18,AA,2023-08-24,2023-11-15,120,37,16.000,16.460,13.650,13.750,14.160,14.380,14.880,15.150
127101,豪鹏转债,2023-12-22,71283,1283,豪鹏科技,0.0043906434,2024-01-11,AA-,2023-07-22,2023-09-07,153,106,47.500,45.780,51.370,49.210,47.660,49.240,51.370,52.000
127100,神码转债,2023-12-21,70034,34,神州数码,0.0044770632,2024-01-19,AA,2023-09-01,2023-11-17,111,34,35.340,35.510,31.650,30.950,28.610,29.740,26.350,26.530
123235,亿田转债,2023-12-21,370911,300911,亿田智能,0.0010338434,2024-01-12,AA-,2023-10-20,2023-11-21,62,30,37.620,37.700,37.690,37.940,35.400,35.260,35.020,34.550
118046,诺泰转债,2023-12-15,718076,688076,诺泰生物,0.00172269,2024-01-18,A+,2023-07-21,2023-11-17,147,28,42.200,42.600,34.100,34.010,40.190,40.450,42.940,42.800
123234,中能转债,2023-12-11,370062,300062,中能电气,0.001357269,2023-12-29,A+,2023-07-22,2023-11-10,142,31,6.360,6.340,6.460,6.440,6.010,6.100,6.100,6.230
127099,盛航转债,2023-12-06,71205,1205,盛航股份,0.0027218265,2023-12-28,AA-,2023-09-01,2023-10-30 00:00:00,96,37,16.860,16.850,18.770,18.640,17.810,17.430,16.720,17.050
123233,凯盛转债,2023-11-29,371069,301069,凯盛新材,0.0012234346,2023-12-15,AA-,2023-06-30,2023-08-30,152,91,21.640,21.900,23.460,25.440,19.670,19.470,18.240,18.100
123232,金现转债,2023-11-27,370830,300830,金现代,0.0014685712,2023-12-19,A+,2023-06-30,2023-08-31,150,88,8.890,8.840,9.590,9.500,8.710,8.990,8.720,8.700
127098,欧晶转债,2023-11-24,71269,1269,欧晶科技,0.0017127732,2023-12-15,AA-,2023-07-29,2023-11-10,118,14,46.800,46.640,57.690,57.850,44.990,43.890,38.200,38.650
113680,丽岛转债,2023-11-15,754937,603937,丽岛新材,0.00048969,2023-12-05,A+,2023-07-20,2023-09-22 00:00:00,118,54,12.810,12.720,12.700,12.450,12.400,12.590,12.830,12.460
123230,金钟转债,2023-11-09,371133,301133,金钟股份,0.0004519079,2023-12-01,A,2023-07-14,2023-08-30,118,71,26.880,27.410,28.190,27.710,27.810,28.710,31.750,31.960
123231,信测转债,2023-11-09,370938,300938,信测标准,0.0010515875,2023-11-29,AA-,2023-07-14,2023-08-30,118,71,41.330,42.010,42.200,41.920,35.500,35.880,37.490,36.830
127097,三羊转债,2023-10-26,71317,1317,三羊马,0.0004248122,2023-11-17,A+,2023-06-22,2023-09-07,126,49,36.800,36.030,36.590,35.970,33.000,33.970,37.690,40.050
113679,芯能转债,2023-10-26,754105,603105,芯能科技,0.00265816,2023-11-24,AA-,2023-08-12,2023-09-22,75,34,13.080,13.430,14.850,15.080,11.500,11.880,12.630,12.370
123229,艾录转债,2023-10-23,371062,301062,上海艾录,0.0015666985,2023-11-20,A+,2023-07-14,2023-08-29,101,55,9.340,9.730,10.410,10.430,9.220,8.930,11.270,11.450
123228,震裕转债,2023-10-20,370953,300953,震裕科技,0.0033437479,2023-11-09,AA-,2023-07-28,2023-09-06,84,44,61.390,63.910,70.340,70.860,55.430,57.570,58.860,58.730
123227,雅创转债,2023-10-20,371099,301099,雅创电子,0.0008851171,2023-11-10,A+,2023-07-14,2023-09-01,98,49,45.410,45.560,64.200,61.710,46.750,46.610,52.400,53.620
113678,中贝转债,2023-10-19,754220,603220,中贝通信,0.00148949,2023-11-21,A+,2023-06-28,2023-08-26 00:00:00,113,54,22.530,20.800,15.370,14.800,39.000,35.500,49.550,46.100
127095,广泰转债,2023-10-18,72111,2111,威海广泰,0.0022347742,2023-11-10,AA-,2023-07-14,2023-09-02,96,46,9.120,9.210,9.440,9.340,8.690,8.640,9.250,9.300
127094,红墙转债,2023-10-18,72809,2809,红墙股份,0.000963578,2023-11-08,A+,2023-07-14,2023-09-01,96,47,10.890,10.960,11.160,11.050,9.740,9.590,10.680,10.650
127093,章鼓转债,2023-10-17,72598,2598,山东章鼓,0.0007387761,2023-11-03,A+,2023-07-08,2023-08-30,101,48,10.480,10.510,11.610,11.560,9.810,9.740,9.960,10.050
123226,中富转债,2023-10-16,370814,300814,中富电路,0.0008351318,2023-11-03,AA-,2023-07-28,2023-09-06,80,40,38.390,43.400,30.200,29.240,34.830,32.460,30.330,31.960
123225,翔丰转债,2023-10-10,370890,300890,翔丰华,0.0035777723,2023-10-26,AA-,2023-07-28,2023-09-06,74,34,33.880,34.580,39.340,39.780,32.880,33.100,34.560,36.080
127092,运机转债,2023-09-21,71288,1288,运机集团,0.0017956304,2023-10-20,AA-,2023-07-29,2023-09-07,54,14,17.880,17.430,17.050,17.420,16.530,16.750,16.050,16.330
123224,宇邦转债,2023-09-19,371266,301266,宇邦新材,0.0009705603,2023-10-18,A+,2023-07-13,2023-08-30,68,20,50.880,51.280,67.140,65.000,50.500,49.610,47.430,46.930
123223,九典转02,2023-09-15,370705,300705,九典制药,0.0006352217,2023-10-13,A+,2022-12-23,2023-03-17,266,182,27.970,27.490,21.760,21.710,21.000,22.450,25.010,25.190
113677,华懋转债,2023-09-14,754306,603306,华懋科技,0.00326065,2023-10-12,AA-,2023-06-17,2023-08-09,89,36,27.230,27.600,29.250,28.800,34.700,35.180,32.930,31.540
118045,盟升转债,2023-09-12,718311,688311,盟升电子,0.00089357,2023-10-17,A,2023-05-06,2023-06-29,129,75,64.000,65.690,65.660,67.500,42.550,42.690,42.100,44.240
118044,赛特转债,2023-09-11,718398,688398,赛特新材,0.00056949,2023-10-12,A+,2022-09-23,2022-11-12,353,303,31.910,32.680,29.510,28.300,32.000,33.160,31.270,31.570
123222,博俊转债,2023-09-08,370926,300926,博俊科技,0.0010404561,2023-09-28,A+,2023-04-07,2023-05-17,154,114,31.900,32.370,32.820,32.220,23.080,22.960,27.220,30.950
123221,力诺转债,2023-08-23,371188,301188,力诺药包,0.0018983056,2023-09-14,A+,2023-06-19,2023-08-02 00:00:00,65,21,14.110,14.060,17.150,17.620,13.230,12.810,12.660,12.410
127091,科数转债,2023-08-23,72335,2335,科华数据,0.0052497071,2023-09-12,AA,2023-07-01,2023-08-11,53,12,34.770,33.760,38.200,39.550,30.980,30.520,31.490,31.970
113676,荣23转债,2023-08-18,754165,603165,荣晟环保,0.00080245,2023-09-13,AA-,2023-05-23,2023-06-30,87,49,16.450,16.040,14.630,14.650,15.650,15.140,15.620,15.190
123220,易瑞转债,2023-08-18,370942,300942,易瑞生物,0.0028761396,2023-09-06,A+,2023-05-26,2023-07-05,84,44,12.500,12.550,13.430,13.640,14.300,14.070,14.230,14.140
111017,蓝天转债,2023-08-15,713368,605368,蓝天燃气,0.00084259,2023-09-08,AA,2023-05-25,2023-08-03,82,12,9.960,9.900,9.500,9.650,9.350,9.560,9.780,10.160
118043,福立转债,2023-08-14,718678,688678,福立旺,0.00147242,2023-09-12,AA-,2023-05-09,2023-06-27,97,48,21.080,20.480,16.300,15.860,19.790,19.110,19.910,19.440
123219,宇瞳转债,2023-08-11,370790,300790,宇瞳光学,0.0011856348,2023-08-29,A+,2023-05-19,2023-06-29,84,43,14.090,14.980,14.850,15.230,14.460,13.840,12.890,13.470
113675,新23转债,2023-08-11,754179,603179,新泉股份,0.0028089,2023-09-05,AA-,2023-06-14,2023-07-27,58,15,46.780,48.790,43.480,42.460,51.770,53.080,52.980,51.770
123218,宏昌转债,2023-08-10,371008,301008,宏昌科技,0.000438974,2023-08-30,A+,2023-04-10,2023-05-17,122,85,24.550,25.060,27.140,26.750,30.300,31.200,30.100,30.260
118042,奥维转债,2023-08-10,718516,688516,奥特维,0.00203912,2023-09-01,AA-,2023-06-07,2023-07-22,64,19,181.580,178.390,165.170,161.640,166.000,172.700,168.310,166.640
110095,双良转债,2023-08-08,733481,600481,双良节能,0.00551815,2023-09-08,AA-,2023-05-23,2023-06-29,77,40,13.910,13.710,13.190,13.120,11.400,11.440,10.510,10.570
123217,富仕转债,2023-08-08,370852,300852,四会富仕,0.0007508153,2023-08-24,AA-,2023-06-09,2023-07-20,60,19,42.600,40.300,40.900,41.010,40.570,39.120,36.460,36.950
123216,科顺转债,2023-08-04,370737,300737,科顺股份,0.0045649054,2023-08-23,AA,2023-04-20,2023-06-26,106,39,9.290,9.040,11.470,11.480,9.980,9.960,8.730,8.500
123215,铭利转债,2023-08-03,371268,301268,铭利达,0.0018818159,2023-08-23,AA-,2023-06-09,2023-07-11,55,23,38.080,40.050,41.060,42.440,34.400,34.030,30.750,29.510
123214,东宝转债,2023-07-31,370239,300239,东宝生物,0.0019172228,2023-08-18,A+,2023-06-09,2023-07-11,52,20,6.190,6.240,6.250,6.280,6.450,6.390,6.300,6.180
118041,星球转债,2023-07-31,718633,688633,星球石墨,0.00054951,2023-08-22,A+,2023-04-20,2023-06-28,102,33,43.890,43.140,45.950,45.220,31.460,31.210,29.580,28.740
